Resistance,Frequency_Hz,Vs_Vpp_Run1,VR_Vpp_Run1,Gain_Run1,Run_Run1,Vs_Vpp_Run2,VR_Vpp_Run2,Gain_Run2,Run_Run2,Gain_Diff,Abs_Gain_Diff,Relative_Gain_Diff_Percent,Vs_Diff,VR_Diff,Suspicious
47,2500,1.58,0.504,0.3189873417721519,1,1.62,0.504,0.3111111111111111,2,-0.007876230661040762,0.007876230661040762,2.4691358024691277,0.040000000000000036,0.0,False
47,2600,1.52,0.536,0.35263157894736846,1,1.54,0.54,0.35064935064935066,2,-0.0019822282980178074,0.0019822282980178074,0.5621244427214677,0.020000000000000018,0.0040000000000000036,False
47,2700,1.46,0.56,0.3835616438356165,1,1.46,0.568,0.3890410958904109,2,0.0054794520547944425,0.0054794520547944425,1.4285714285714082,0.0,0.007999999999999896,False
47,2800,1.38,0.584,0.42318840579710143,1,1.38,0.592,0.4289855072463768,2,0.005797101449275366,0.005797101449275366,1.369863013698631,0.0,0.008000000000000007,False
47,2850,1.35,0.592,0.4385185185185185,1,1.34,0.6,0.4477611940298507,2,0.009242675511332232,0.009242675511332232,2.1077047196450196,-0.010000000000000009,0.008000000000000007,False
47,2900,1.32,0.6,0.45454545454545453,1,1.33,0.608,0.45714285714285713,2,0.0025974025974025983,0.0025974025974025983,0.5714285714285716,0.010000000000000009,0.008000000000000007,False
47,2950,1.3,0.608,0.4676923076923077,1,1.3,0.616,0.4738461538461538,2,0.006153846153846121,0.006153846153846121,1.3157894736842035,0.0,0.008000000000000007,False
47,3000,1.27,0.616,0.48503937007874015,1,1.28,0.624,0.4875,2,0.002460629921259838,0.002460629921259838,0.5073051948051939,0.010000000000000009,0.008000000000000007,False
47,3025,1.26,0.616,0.4888888888888889,1,1.26,0.624,0.49523809523809526,2,0.006349206349206382,0.006349206349206382,1.2987012987013056,0.0,0.008000000000000007,False
47,3050,1.26,0.616,0.4888888888888889,1,1.26,0.624,0.49523809523809526,2,0.006349206349206382,0.006349206349206382,1.2987012987013056,0.0,0.008000000000000007,False
47,3075,1.26,0.62,0.49206349206349204,1,1.26,0.624,0.49523809523809526,2,0.003174603174603219,0.003174603174603219,0.6451612903225896,0.0,0.0040000000000000036,False
47,3100,1.26,0.62,0.49206349206349204,1,1.26,0.624,0.49523809523809526,2,0.003174603174603219,0.003174603174603219,0.6451612903225896,0.0,0.0040000000000000036,False
47,3125,1.26,0.616,0.4888888888888889,1,1.26,0.624,0.49523809523809526,2,0.006349206349206382,0.006349206349206382,1.2987012987013056,0.0,0.008000000000000007,False
