Resistance_Ohm,Frequency_Hz,Vs_Vpp,VR_Vpp,Gain,Gain_Recomputed,Gain_Error
150,2600,1.66,1.07,0.64458,0.6445783132530121,1.6867469879722208e-06
150,2700,1.64,1.095,0.66768,0.6676829268292683,-2.926829268279363e-06
150,2800,1.62,1.1,0.67901,0.6790123456790124,-2.345679012361046e-06
150,2850,1.62,1.115,0.68827,0.6882716049382716,-1.6049382715044302e-06
150,2900,1.61,1.12,0.69565,0.6956521739130435,-2.1739130434683673e-06
150,2950,1.59,1.12,0.7044,0.7044025157232705,-2.515723270479775e-06
150,3000,1.59,1.125,0.70755,0.7075471698113207,2.8301886793036246e-06
150,3025,1.58,1.125,0.71203,0.7120253164556962,4.6835443038295566e-06
150,3050,1.58,1.13,0.71519,0.7151898734177214,1.2658227854789317e-07
150,3075,1.58,1.13,0.71519,0.7151898734177214,1.2658227854789317e-07
150,3100,1.58,1.13,0.71519,0.7151898734177214,1.2658227854789317e-07
150,3125,1.58,1.13,0.71519,0.7151898734177214,1.2658227854789317e-07
150,3150,1.58,1.13,0.71519,0.7151898734177214,1.2658227854789317e-07
150,3175,1.58,1.13,0.71519,0.7151898734177214,1.2658227854789317e-07
150,3200,1.58,1.13,0.71519,0.7151898734177214,1.2658227854789317e-07
150,3225,1.58,1.13,0.71519,0.7151898734177214,1.2658227854789317e-07
150,3250,1.58,1.125,0.71203,0.7120253164556962,4.6835443038295566e-06
150,3275,1.58,1.12,0.70886,0.7088607594936709,-7.594936708432698e-07
150,3300,1.58,1.12,0.70886,0.7088607594936709,-7.594936708432698e-07
150,3325,1.58,1.12,0.70886,0.7088607594936709,-7.594936708432698e-07
150,3350,1.58,1.12,0.70886,0.7088607594936709,-7.594936708432698e-07
150,3375,1.58,1.12,0.70886,0.7088607594936709,-7.594936708432698e-07
150,3400,1.58,1.12,0.70886,0.7088607594936709,-7.594936708432698e-07
150,3450,1.58,1.11,0.70253,0.7025316455696203,-1.645569620345455e-06
150,3500,1.59,1.1,0.69182,0.6918238993710693,-3.8993710692603045e-06
150,3600,1.62,1.095,0.67593,0.6759259259259258,4.0740740742117865e-06
150,3800,1.63,1.065,0.65337,0.6533742331288344,-4.233128834352229e-06
150,4000,1.66,1.025,0.61747,0.6174698795180723,1.2048192765679033e-07
150,4500,1.71,0.92,0.53801,0.5380116959064328,-1.6959064328414541e-06
150,5000,1.78,0.84,0.47191,0.47191011235955055,-1.1235955055255431e-07
200,1000,2.02,0.576,0.28515,0.2851485148514851,1.4851485148903443e-06
200,1500,1.94,0.808,0.41649,0.41649484536082476,-4.845360824734524e-06
200,2000,1.82,1.04,0.57143,0.5714285714285714,1.4285714285966478e-06
200,2300,1.76,1.13,0.64205,0.6420454545454545,4.545454545534788e-06
200,2500,1.72,1.18,0.68605,0.686046511627907,3.48837209307451e-06
200,2600,1.7,1.2,0.70588,0.7058823529411765,-2.3529411765643715e-06
200,2700,1.7,1.215,0.71471,0.7147058823529412,4.1176470587656055e-06
200,2800,1.69,1.23,0.72781,0.727810650887574,-6.508875740607323e-07
200,2850,1.67,1.235,0.73952,0.7395209580838324,-9.580838324918517e-07
200,2900,1.66,1.24,0.74699,0.746987951807229,2.048192771053614e-06
200,2950,1.66,1.24,0.74699,0.746987951807229,2.048192771053614e-06
200,3000,1.66,1.24,0.74699,0.746987951807229,2.048192771053614e-06
200,3025,1.66,1.24,0.74699,0.746987951807229,2.048192771053614e-06
200,3050,1.66,1.24,0.74699,0.746987951807229,2.048192771053614e-06
200,3075,1.66,1.24,0.74699,0.746987951807229,2.048192771053614e-06
200,3100,1.66,1.24,0.74699,0.746987951807229,2.048192771053614e-06
200,3125,1.66,1.24,0.74699,0.746987951807229,2.048192771053614e-06
200,3150,1.66,1.24,0.74699,0.746987951807229,2.048192771053614e-06
200,3175,1.66,1.24,0.74699,0.746987951807229,2.048192771053614e-06
200,3200,1.66,1.24,0.74699,0.746987951807229,2.048192771053614e-06
200,3225,1.66,1.24,0.74699,0.746987951807229,2.048192771053614e-06
200,3250,1.66,1.24,0.74699,0.746987951807229,2.048192771053614e-06
200,3275,1.66,1.24,0.74699,0.746987951807229,2.048192771053614e-06
