Resistance,Frequency_Hz,Vs_Vpp,VR_Vpp,Gain,Run
200,2000,1.82,1.05,0.576923076923077,1
200,2300,1.78,1.15,0.646067415730337,1
200,2500,1.74,1.2,0.689655172413793,1
200,2600,1.72,1.21,0.7034883720930233,1
200,2700,1.72,1.23,0.7151162790697675,1
200,2800,1.7,1.24,0.7294117647058823,1
200,2850,1.68,1.24,0.7380952380952381,1
200,2900,1.67,1.24,0.7425149700598803,1
200,2950,1.66,1.24,0.746987951807229,1
200,3000,1.66,1.24,0.746987951807229,1
200,3025,1.66,1.24,0.746987951807229,1
200,3050,1.66,1.24,0.746987951807229,1
200,3075,1.66,1.24,0.746987951807229,1
200,3100,1.66,1.24,0.746987951807229,1
200,3125,1.66,1.24,0.746987951807229,1
200,3150,1.66,1.24,0.746987951807229,1
200,3175,1.66,1.24,0.746987951807229,1
200,3200,1.66,1.24,0.746987951807229,1
200,3225,1.66,1.24,0.746987951807229,1
200,3250,1.66,1.24,0.746987951807229,1
200,3275,1.66,1.24,0.746987951807229,1
200,3300,1.66,1.24,0.746987951807229,1
200,3325,1.66,1.23,0.7409638554216867,1
200,3350,1.66,1.23,0.7409638554216867,1
200,3375,1.66,1.23,0.7409638554216867,1
200,3400,1.66,1.23,0.7409638554216867,1
200,3450,1.67,1.23,0.7365269461077845,1
200,3500,1.68,1.22,0.7261904761904762,1
200,3600,1.7,1.21,0.711764705882353,1
200,3800,1.7,1.18,0.6941176470588235,1
200,4000,1.7,1.16,0.6823529411764706,1
200,4500,1.74,1.07,0.6149425287356323,1
200,5000,1.78,0.976,0.5483146067415731,1
200,1000,2.02,0.576,0.2851485148514851,2
200,1500,1.94,0.808,0.41649484536082476,2
200,2000,1.82,1.04,0.5714285714285714,2
200,2300,1.76,1.13,0.6420454545454545,2
200,2500,1.72,1.18,0.686046511627907,2
200,2600,1.7,1.2,0.7058823529411765,2
200,2700,1.7,1.215,0.7147058823529412,2
200,2800,1.69,1.23,0.727810650887574,2
200,2850,1.67,1.235,0.7395209580838324,2
200,2900,1.66,1.24,0.746987951807229,2
200,2950,1.66,1.24,0.746987951807229,2
200,3000,1.66,1.24,0.746987951807229,2
200,3025,1.66,1.24,0.746987951807229,2
200,3050,1.66,1.24,0.746987951807229,2
200,3075,1.66,1.24,0.746987951807229,2
200,3100,1.66,1.24,0.746987951807229,2
200,3125,1.66,1.24,0.746987951807229,2
200,3150,1.66,1.24,0.746987951807229,2
200,3175,1.66,1.24,0.746987951807229,2
200,3200,1.66,1.24,0.746987951807229,2
200,3225,1.66,1.24,0.746987951807229,2
200,3250,1.66,1.24,0.746987951807229,2
